time_ns,winc,rinc,wFull,rEmpty,wHalfFull,rHalfEmpty,error_flag,wData,rData,w_count,r_count
0,0,0,0,1,0,1,0,0,0,0,0
1000,0,1,0,1,0,1,0,0,0,0,0
1020,1,0,0,1,0,1,0,115,0,1,0
1032,1,0,0,1,0,1,0,19,0,2,0
1044,0,0,0,1,0,1,0,19,0,2,0
1056,1,0,0,1,0,1,0,27,0,3,0
1068,0,0,0,1,0,1,0,27,0,3,0
1070,0,0,0,0,0,1,0,27,0,3,0
1080,0,1,0,0,0,1,0,27,0,3,0
1090,0,1,0,0,0,1,0,27,1,3,0
1100,0,1,0,0,0,1,0,27,1,3,1
1110,0,1,0,0,0,1,0,27,0,3,1
1116,1,1,0,0,0,1,0,225,0,4,1
1120,1,0,0,0,0,1,0,225,0,4,2
1128,1,0,0,0,0,1,0,148,0,5,2
1140,1,1,0,0,0,1,0,93,0,6,2
1150,1,1,0,1,0,1,0,93,1,6,2
1152,1,1,0,1,0,1,0,138,1,7,2
1164,1,1,0,1,0,1,0,218,1,8,2
1170,1,1,0,0,0,1,0,218,1,8,2
1176,0,1,0,0,0,1,0,218,1,8,2
1180,0,1,0,0,0,1,0,218,1,8,3
1188,1,1,0,0,0,1,0,246,1,9,3
1190,1,1,0,0,0,1,0,246,1,9,3
1200,0,0,0,0,0,1,0,246,1,9,4
1220,0,1,0,0,0,1,0,246,1,9,4
1230,0,1,0,0,0,1,0,246,0,9,4
1236,1,1,0,0,0,1,0,140,0,10,4
1240,1,1,0,0,0,1,0,140,0,10,5
1248,1,1,0,0,0,1,0,235,0,11,5
1250,1,1,0,0,0,1,0,235,0,11,5
1260,1,1,0,0,0,1,0,228,0,12,6
1270,1,1,0,0,0,1,0,228,1,12,6
1272,1,1,0,0,0,1,0,35,1,13,6
1280,1,0,0,0,0,1,0,35,1,13,7
1284,0,0,0,0,0,1,0,35,1,13,7
1296,1,0,0,0,0,1,0,201,1,14,7
1308,1,0,0,0,0,1,0,78,1,15,7
1320,0,0,0,0,0,1,0,78,1,15,7
1332,1,0,0,0,0,1,0,125,1,16,7
1344,0,0,0,0,0,1,0,125,1,16,7
1360,0,1,0,0,0,1,0,125,1,16,7
1380,1,0,0,0,0,1,0,91,1,17,8
1392,0,0,0,0,0,1,0,91,1,17,8
1400,0,1,0,0,0,1,0,91,1,17,8
1410,0,1,0,0,0,1,0,91,1,17,8
1420,0,1,0,0,0,1,0,91,1,17,9
1428,1,1,0,0,0,1,0,209,1,18,9
1430,1,1,0,0,0,1,0,209,0,18,9
1440,1,0,0,0,0,1,0,147,0,19,10
1452,0,0,0,0,0,1,0,147,0,19,10
1476,1,0,0,0,0,1,0,208,0,20,10
1480,1,1,0,0,0,1,0,208,0,20,10
1488,0,1,0,0,0,1,0,208,0,20,10
1490,0,1,0,0,0,1,0,208,1,20,10
1500,0,1,0,0,0,1,0,208,1,20,11
1510,0,1,0,0,0,1,0,208,0,20,11
1520,0,0,0,0,0,1,0,208,0,20,12
1524,1,0,0,0,0,1,0,36,0,21,12
1536,1,0,0,0,0,1,0,93,0,22,12
1540,1,1,0,0,0,1,0,93,0,22,12
1548,0,1,0,0,0,1,0,93,0,22,12
1550,0,1,0,0,0,1,0,93,0,22,12
1560,1,1,0,0,0,1,0,108,0,23,13
1570,1,1,0,0,0,1,0,108,1,23,13
1572,0,1,0,0,0,1,0,108,1,23,13
1580,0,1,0,0,0,1,0,108,1,23,14
1590,0,1,0,0,0,1,0,108,0,23,14
1600,0,0,0,0,0,1,0,108,0,23,15
1620,1,0,0,0,0,1,0,90,0,24,15
1632,1,0,0,0,0,1,0,2,0,25,15
1644,0,0,0,0,0,1,0,2,0,25,15
1680,1,1,0,0,0,1,0,88,0,26,15
1690,1,1,0,0,0,1,0,88,1,26,15
1692,1,1,0,0,0,1,0,155,1,27,15
1700,1,1,0,0,0,1,0,155,1,27,16
1704,1,1,0,0,0,1,0,200,1,28,16
1710,1,1,0,0,0,1,0,200,0,28,16
1716,0,1,0,0,0,1,0,200,0,28,16
1720,0,1,0,0,0,1,0,200,0,28,17
1730,0,1,0,0,0,1,0,200,1,28,17
1740,1,0,0,0,0,1,0,97,1,29,18
1752,0,0,0,0,0,1,0,97,1,29,18
1764,1,0,0,0,0,1,0,128,1,30,18
1776,0,0,0,0,0,1,0,128,1,30,18
1780,0,1,0,0,0,1,0,128,1,30,18
1788,1,1,0,0,0,1,0,193,1,31,18
1790,1,1,0,0,0,1,0,193,0,31,18
1800,0,1,0,0,0,1,0,193,0,31,19
1810,0,1,0,0,0,1,0,193,1,31,19
1812,1,1,0,0,0,1,0,46,1,32,19
1820,1,1,0,0,0,1,0,46,1,32,20
1824,0,1,0,0,0,1,0,46,1,32,20
1830,0,1,0,0,0,1,0,46,0,32,20
1840,0,0,0,0,0,1,0,46,0,32,21
1860,1,0,0,0,0,1,0,97,0,33,21
1872,0,0,0,0,0,1,0,97,0,33,21
1884,1,0,0,0,0,1,0,237,0,34,21
1896,0,0,0,0,0,1,0,237,0,34,21
1908,1,0,0,0,0,1,0,220,0,35,21
1920,1,1,0,0,0,1,0,148,0,36,21
1930,1,1,0,0,0,1,0,148,1,36,21
1932,1,1,0,0,0,1,0,222,1,37,21
1940,1,1,0,0,0,1,0,222,1,37,22
1944,0,1,0,0,0,1,0,222,1,37,22
1950,0,1,0,0,0,1,0,222,1,37,22
1956,1,1,0,0,0,1,0,229,1,38,22
1960,1,1,0,0,0,1,0,229,1,38,23
1968,0,1,0,0,0,1,0,229,1,38,23
1970,0,1,0,0,0,1,0,229,0,38,23
1980,1,0,0,0,0,1,0,250,0,39,24
1992,1,0,0,0,0,1,0,95,0,40,24
2004,1,0,0,0,0,1,0,10,0,41,24
2016,0,0,0,0,0,1,0,10,0,41,24
2040,1,1,0,0,0,1,0,17,0,42,24
2052,1,1,0,0,0,1,0,110,0,43,24
2060,1,0,0,0,0,1,0,110,0,43,25
2064,1,0,0,0,0,1,0,122,0,44,25
2076,1,0,0,0,0,1,0,51,0,45,25
2088,1,0,0,0,0,1,0,134,0,46,25
2100,1,0,0,0,0,1,0,131,0,47,25
2112,0,0,0,0,0,1,0,131,0,47,25
2136,1,0,0,0,0,1,0,214,0,48,25
2140,1,1,0,0,0,1,0,214,0,48,25
2148,0,1,0,0,0,1,0,214,0,48,25
2150,0,1,0,0,0,1,0,214,1,48,25
2160,1,0,0,0,0,1,0,7,1,49,26
2172,0,0,0,0,0,1,0,7,1,49,26
2180,0,1,0,0,0,1,0,7,1,49,26
2184,1,1,0,0,0,1,0,170,1,50,26
2190,1,1,0,0,0,1,0,170,1,50,26
2196,1,1,0,0,0,1,0,77,1,51,26
2200,1,1,0,0,0,1,0,77,1,51,27
2208,1,1,0,0,0,1,0,168,1,52,27
2210,1,1,0,0,0,1,0,168,1,52,27
2220,1,1,0,0,0,1,0,48,1,53,28
2230,1,1,0,0,0,1,0,48,0,53,28
2232,1,1,0,0,0,1,0,92,0,54,28
2240,1,0,0,0,0,1,0,92,0,54,29
2244,0,0,0,0,0,1,0,92,0,54,29
2280,1,0,0,0,0,1,0,175,0,55,29
2292,1,0,0,0,0,1,0,106,0,56,29
2304,0,0,0,0,0,1,0,106,0,56,29
2316,1,0,0,0,0,1,0,65,0,57,29
2320,1,1,0,0,0,1,0,65,0,57,29
2328,0,1,0,0,0,1,0,65,0,57,29
2330,0,1,0,0,0,1,0,65,1,57,29
2340,1,0,0,0,0,1,0,58,1,58,30
2352,1,0,0,0,0,1,0,136,1,59,30
2364,1,0,0,0,0,1,0,170,1,60,30
2376,0,0,0,0,0,1,0,170,1,60,30
2412,1,0,0,0,0,1,0,53,1,61,30
2420,1,1,0,0,0,1,0,53,1,61,30
2424,1,1,0,0,0,1,0,240,1,62,30
2430,1,1,0,0,1,1,0,240,1,62,30
2436,1,1,0,0,1,1,0,129,1,63,30
2440,1,0,0,0,1,1,0,129,1,63,31
2448,1,0,0,0,1,1,0,214,1,64,31
2460,1,1,0,0,1,1,0,100,1,65,31
2470,1,1,0,0,1,1,0,100,0,65,31
2472,0,1,0,0,1,1,0,100,0,65,31
2480,0,0,0,0,1,1,0,100,0,65,32
2484,1,0,0,0,1,1,0,237,0,66,32
2490,1,0,0,0,1,0,0,237,0,66,32
2496,0,0,0,0,1,0,0,237,0,66,32
2508,1,0,0,0,1,0,0,184,0,67,32
2520,1,1,0,0,1,0,0,44,0,68,32
2530,1,1,0,0,1,0,0,44,1,68,32
2532,1,1,0,0,1,0,0,221,1,69,32
2540,1,1,0,0,1,0,0,221,1,69,33
2544,1,1,0,0,1,0,0,17,1,70,33
2550,1,1,0,0,1,0,0,17,1,70,33
2556,0,1,0,0,1,0,0,17,1,70,33
2560,0,0,0,0,1,0,0,17,1,70,34
2568,1,0,0,0,1,0,0,93,1,71,34
2580,0,0,0,0,1,0,0,93,1,71,34
2592,1,0,0,0,1,0,0,146,1,72,34
2600,1,1,0,0,1,0,0,146,1,72,34
2604,0,1,0,0,1,0,0,146,1,72,34
2610,0,1,0,0,1,0,0,146,0,72,34
2616,1,1,0,0,1,0,0,4,0,73,34
2620,1,1,0,0,1,0,0,4,0,73,35
2628,1,1,0,0,1,0,0,197,0,74,35
2640,0,1,0,0,1,0,0,197,0,74,36
2650,0,1,0,0,1,0,0,197,1,74,36
2660,0,1,0,0,1,0,0,197,1,74,37
2664,1,1,0,0,1,0,0,7,1,75,37
2670,1,1,0,0,1,0,0,7,1,75,37
2676,1,1,0,0,1,0,0,140,1,76,37
2680,1,0,0,0,1,0,0,140,1,76,38
2688,0,0,0,0,1,0,0,140,1,76,38
2700,1,0,0,0,1,0,0,123,1,77,38
2712,1,0,0,0,1,0,0,223,1,78,38
2724,0,0,0,0,1,0,0,223,1,78,38
2736,1,0,0,0,1,0,0,33,1,79,38
2748,0,0,0,0,1,0,0,33,1,79,38
2760,1,1,0,0,1,0,0,209,1,80,38
2770,1,1,0,0,1,0,0,209,1,80,38
2772,0,1,0,0,1,0,0,209,1,80,38
2780,0,0,0,0,1,0,0,209,1,80,39
2784,1,0,0,0,1,0,0,98,1,81,39
2796,0,0,0,0,1,0,0,98,1,81,39
2800,0,1,0,0,1,0,0,98,1,81,39
2808,1,1,0,0,1,0,0,161,1,82,39
2810,1,1,0,0,1,0,0,161,0,82,39
2820,0,0,0,0,1,0,0,161,0,82,40
2832,1,0,0,0,1,0,0,132,0,83,40
2844,0,0,0,0,1,0,0,132,0,83,40
2860,0,1,0,0,1,0,0,132,0,83,40
2868,1,1,0,0,1,0,0,65,0,84,40
2880,1,0,0,0,1,0,0,152,0,85,41
2892,1,0,0,0,1,0,0,198,0,86,41
2904,0,0,0,0,1,0,0,198,0,86,41
2916,1,0,0,0,1,0,0,62,0,87,41
2920,1,1,0,0,1,0,0,62,0,87,41
2928,0,1,0,0,1,0,0,62,0,87,41
