time_ns,wdata,rdata,wfull,rempty
0,0,x,0,1
72,1,x,0,1
78,1,1,0,1
84,2,1,0,1
96,3,1,0,1
108,4,1,0,1
110,4,1,0,0
120,5,1,0,0
132,6,1,0,0
144,7,1,0,0
156,8,1,0,0
168,9,1,0,0
180,10,1,0,0
192,11,1,0,0
204,12,1,0,0
216,13,1,0,0
228,14,1,0,0
240,15,1,0,0
252,16,1,0,0
264,17,1,0,0
276,18,1,0,0
288,19,1,0,0
300,20,1,0,0
312,21,1,0,0
324,22,1,0,0
336,23,1,0,0
348,24,1,0,0
360,25,1,0,0
372,26,1,0,0
384,27,1,0,0
396,28,1,0,0
408,29,1,0,0
420,30,1,0,0
432,31,1,0,0
444,32,1,0,0
456,33,1,0,0
468,34,1,0,0
480,35,1,0,0
492,36,1,0,0
504,37,1,0,0
516,38,1,0,0
528,39,1,0,0
540,40,1,0,0
552,41,1,0,0
564,42,1,0,0
576,43,1,0,0
588,44,1,0,0
600,45,1,0,0
612,46,1,0,0
624,47,1,0,0
636,48,1,0,0
648,49,1,0,0
660,50,1,0,0
672,51,1,0,0
684,52,1,0,0
696,53,1,0,0
708,54,1,0,0
720,55,1,0,0
732,56,1,0,0
744,57,1,0,0
756,58,1,0,0
768,59,1,0,0
780,60,1,0,0
792,61,1,0,0
804,62,1,0,0
816,63,1,0,0
828,64,1,0,0
834,64,1,1,0
1650,64,2,1,0
1670,64,3,1,0
1674,64,3,0,0
1690,64,4,0,0
1710,64,5,0,0
1730,64,6,0,0
1750,64,7,0,0
1770,64,8,0,0
1790,64,9,0,0
1810,64,10,0,0
1830,64,11,0,0
1850,64,12,0,0
1870,64,13,0,0
1890,64,14,0,0
1910,64,15,0,0
1930,64,16,0,0
1950,64,17,0,0
1970,64,18,0,0
1990,64,19,0,0
2010,64,20,0,0
2030,64,21,0,0
2050,64,22,0,0
2070,64,23,0,0
2090,64,24,0,0
2110,64,25,0,0
2130,64,26,0,0
2150,64,27,0,0
2170,64,28,0,0
2190,64,29,0,0
2210,64,30,0,0
2230,64,31,0,0
2250,64,32,0,0
2270,64,33,0,0
2290,64,34,0,0
2310,64,35,0,0
2330,64,36,0,0
2350,64,37,0,0
2370,64,38,0,0
2390,64,39,0,0
2410,64,40,0,0
2430,64,41,0,0
2450,64,42,0,0
2470,64,43,0,0
2490,64,44,0,0
2510,64,45,0,0
2530,64,46,0,0
2550,64,47,0,0
2570,64,48,0,0
2590,64,49,0,0
2610,64,50,0,0
2630,64,51,0,0
2650,64,52,0,0
2670,64,53,0,0
2690,64,54,0,0
2710,64,55,0,0
2730,64,56,0,0
2750,64,57,0,0
2770,64,58,0,0
2790,64,59,0,0
2810,64,60,0,0
2830,64,61,0,0
2850,64,62,0,0
2870,64,63,0,0
2890,64,64,0,0
2910,64,1,0,1
