time_ns,winc,rinc,wFull,rEmpty,wHalfFull,rHalfEmpty,wData,rData
0,0,0,0,1,0,1,0,x
80,0,1,0,1,0,1,0,x
84,1,1,0,1,0,1,1,x
90,1,1,0,1,0,1,1,126
96,1,1,0,1,0,1,1,126
108,1,1,0,1,0,1,0,126
120,0,1,0,1,0,1,0,126
144,1,1,0,1,0,1,1,126
150,1,1,0,0,0,1,1,126
156,0,1,0,0,0,1,1,126
160,0,0,0,0,0,1,1,126
168,1,0,0,0,0,1,0,126
180,0,0,0,0,0,1,0,126
216,1,0,0,0,0,1,0,126
220,1,1,0,0,0,1,0,126
230,1,1,0,0,0,1,0,237
240,1,0,0,0,0,1,0,237
252,0,0,0,0,0,1,0,237
260,0,1,0,0,0,1,0,237
264,1,1,0,0,0,1,0,237
270,1,1,0,0,0,1,0,205
276,0,1,0,0,0,1,0,205
288,1,1,0,0,0,1,1,205
290,1,1,0,0,0,1,1,218
300,0,0,0,0,0,1,1,218
324,1,0,0,0,0,1,0,218
336,0,0,0,0,0,1,0,218
360,0,1,0,0,0,1,0,218
370,0,1,0,0,0,1,0,213
384,1,1,0,0,0,1,0,213
390,1,1,0,0,0,1,0,190
396,0,1,0,0,0,1,0,190
400,0,0,0,0,0,1,0,190
420,1,1,0,0,0,1,0,190
430,1,1,0,0,0,1,0,184
432,0,1,0,0,0,1,0,184
444,1,1,0,0,0,1,1,184
450,1,1,0,0,0,1,1,149
456,0,1,0,0,0,1,1,149
460,0,0,0,0,0,1,1,149
468,1,0,0,0,0,1,1,149
480,0,1,0,0,0,1,1,149
490,0,1,0,0,0,1,1,136
492,1,1,0,0,0,1,0,136
500,1,0,0,0,0,1,0,136
504,0,0,0,0,0,1,0,136
520,0,1,0,0,0,1,0,136
528,1,1,0,0,0,1,0,136
530,1,1,0,0,0,1,0,183
540,0,0,0,0,0,1,0,183
552,1,0,0,0,0,1,1,183
560,1,1,0,0,0,1,1,183
564,0,1,0,0,0,1,1,183
570,0,1,0,0,0,1,1,134
580,0,0,0,0,0,1,1,134
600,1,0,0,0,0,1,0,134
612,0,0,0,0,0,1,0,134
620,0,1,0,0,0,1,0,134
630,0,1,0,0,0,1,0,126
640,0,0,0,0,0,1,0,126
660,1,0,0,0,0,1,1,126
672,1,0,0,0,0,1,0,126
684,1,0,0,0,0,1,1,126
696,0,0,0,0,0,1,1,126
700,0,1,0,0,0,1,1,126
708,1,1,0,0,0,1,0,126
710,1,1,0,0,0,1,0,3
