time_ns,winc,rinc,wFull,rEmpty,wHalfFull,rHalfEmpty,wData,rData
0,0,0,0,1,0,1,0,x
48,1,0,0,1,0,1,2,x
60,0,0,0,1,0,1,176,x
72,1,0,0,1,0,1,210,x
84,1,0,0,1,0,1,186,x
96,0,0,0,1,0,1,50,x
100,0,1,0,1,0,1,50,x
108,1,1,0,1,0,1,11,x
110,1,1,0,0,0,1,11,x
120,1,0,0,0,0,1,186,x
132,1,0,0,0,0,1,79,x
144,1,0,0,0,0,1,240,x
156,0,0,0,0,0,1,35,x
168,0,0,0,0,0,1,194,x
180,0,0,0,0,0,1,80,x
192,0,0,0,0,0,1,196,x
200,0,1,0,0,0,1,196,x
204,0,1,0,0,0,1,99,x
210,0,1,0,0,0,1,99,2
216,1,1,0,0,0,1,204,2
220,1,0,0,0,0,1,204,2
228,0,0,0,0,0,1,174,2
240,1,0,0,0,0,1,129,2
252,1,0,0,0,0,1,61,2
260,1,1,0,0,0,1,61,2
264,1,1,0,0,0,1,59,2
270,1,1,0,0,0,1,59,210
276,1,1,0,0,0,1,164,210
288,0,1,0,0,0,1,32,210
290,0,1,0,0,0,1,32,186
300,0,1,0,0,0,1,139,186
310,0,1,0,0,0,1,139,11
312,1,1,0,0,0,1,121,11
324,0,1,0,0,0,1,78,11
330,0,1,0,0,0,1,78,186
336,0,1,0,0,0,1,156,186
348,1,1,0,0,0,1,134,186
350,1,1,0,0,0,1,134,79
360,0,1,0,0,0,1,96,79
370,0,1,0,0,0,1,96,240
372,1,1,0,0,0,1,200,240
380,1,0,0,0,0,1,200,240
384,1,0,0,0,0,1,87,240
396,1,0,0,0,0,1,176,240
408,0,0,0,0,0,1,1,240
420,0,0,0,0,0,1,229,240
432,1,0,0,0,0,1,200,240
440,1,1,0,0,0,1,200,240
444,1,1,0,0,0,1,114,240
450,1,1,0,0,0,1,114,204
456,1,1,0,0,0,1,52,204
460,1,0,0,0,0,1,52,204
468,1,0,0,0,0,1,203,204
480,1,1,0,0,0,1,171,204
490,1,1,0,0,0,1,171,129
492,0,1,0,0,0,1,224,129
500,0,0,0,0,0,1,224,129
504,1,0,0,0,0,1,83,129
516,1,0,0,0,0,1,148,129
520,1,1,0,0,0,1,148,129
528,0,1,0,0,0,1,27,129
530,0,1,0,0,0,1,27,61
540,0,0,0,0,0,1,153,61
552,0,0,0,0,0,1,179,61
564,1,0,0,0,0,1,59,61
576,0,0,0,0,0,1,114,61
580,0,1,0,0,0,1,114,61
588,1,1,0,0,0,1,53,61
590,1,1,0,0,0,1,53,59
600,1,1,0,0,0,1,229,59
610,1,1,0,0,0,1,229,164
612,1,1,0,0,0,1,73,164
624,1,1,0,0,0,1,60,164
630,1,1,0,0,0,1,60,121
636,1,1,0,0,0,1,156,121
648,1,1,0,0,0,1,255,121
650,1,1,0,0,0,1,255,134
660,1,0,0,0,0,1,219,134
672,0,0,0,0,0,1,38,134
684,0,0,0,0,0,1,255,134
696,0,0,0,0,0,1,189,134
700,0,1,0,0,0,1,189,134
708,0,1,0,0,0,1,50,134
710,0,1,0,0,0,1,50,200
720,1,0,0,0,0,1,64,200
732,1,0,0,0,0,1,94,200
744,1,0,0,0,0,1,2,200
756,0,0,0,0,0,1,192,200
760,0,1,0,0,0,1,192,200
768,0,1,0,0,0,1,134,200
770,0,1,0,0,0,1,134,87
780,1,1,0,0,0,1,196,87
790,1,1,0,0,0,1,196,176
792,0,1,0,0,0,1,44,176
804,1,1,0,0,0,1,7,176
810,1,1,0,0,0,1,7,200
816,0,1,0,0,0,1,155,200
828,0,1,0,0,0,1,238,200
830,0,1,0,0,0,1,238,114
840,1,0,0,0,0,1,218,114
852,0,0,0,0,0,1,158,114
860,0,1,0,0,0,1,158,114
864,1,1,0,0,0,1,246,114
870,1,1,0,0,0,1,246,52
876,0,1,0,0,0,1,119,52
888,0,1,0,0,0,1,240,52
890,0,1,0,0,0,1,240,203
