time_ns,wclk,rclk,w_en,r_en,full,empty,half_full,half_empty,data_in,data_out
0,0,0,0,0,0,1,0,1,0,x
6.25,1,0,0,0,0,1,0,1,0,x
10,1,1,0,0,0,1,0,1,0,x
12.5,0,1,0,0,0,1,0,1,0,x
18.75,1,1,0,0,0,1,0,1,0,x
20,1,0,0,0,0,1,0,1,0,x
25,0,0,0,0,0,1,0,1,0,x
30,0,1,0,0,0,1,0,1,0,x
31.25,1,1,0,0,0,1,0,1,0,x
37.5,0,1,0,0,0,1,0,1,0,x
40,0,0,0,0,0,1,0,1,0,x
43.75,1,0,0,0,0,1,0,1,0,x
50,0,1,0,0,0,1,0,1,0,x
56.25,1,1,0,0,0,1,0,1,0,x
60,1,0,0,0,0,1,0,1,0,x
62.5,0,0,0,0,0,1,0,1,0,x
68.75,1,0,0,0,0,1,0,1,0,x
70,1,1,0,0,0,1,0,1,0,x
75,0,1,0,0,0,1,0,1,0,x
80,0,0,0,0,0,1,0,1,0,x
81.25,1,0,0,0,0,1,0,1,0,x
87.5,0,0,0,0,0,1,0,1,0,x
90,0,1,0,0,0,1,0,1,0,x
93.75,1,1,0,0,0,1,0,1,0,x
100,0,0,0,0,0,1,0,1,0,x
106.25,1,0,0,0,0,1,0,1,0,x
110,1,1,0,0,0,1,0,1,0,x
112.5,0,1,0,0,0,1,0,1,0,x
118.75,1,1,0,0,0,1,0,1,0,x
120,1,0,0,0,0,1,0,1,0,x
125,0,0,0,0,0,1,0,1,0,x
130,0,1,0,0,0,1,0,1,0,x
131.25,1,1,0,0,0,1,0,1,0,x
137.5,0,1,0,0,0,1,0,1,0,x
140,0,0,0,0,0,1,0,1,0,x
143.75,1,0,0,0,0,1,0,1,0,x
150,0,1,0,0,0,1,0,1,0,x
156.25,1,1,0,0,0,1,0,1,0,x
160,1,0,0,0,0,1,0,1,0,x
162.5,0,0,0,0,0,1,0,1,0,x
168.75,1,0,0,0,0,1,0,1,0,x
170,1,1,0,0,0,1,0,1,0,x
175,0,1,0,0,0,1,0,1,0,x
180,0,0,0,0,0,1,0,1,0,x
181.25,1,0,0,0,0,1,0,1,0,x
187.5,0,0,0,0,0,1,0,1,0,x
190,0,1,0,0,0,1,0,1,0,x
193.75,1,1,0,0,0,1,0,1,0,x
200,0,0,0,0,0,1,0,1,0,x
206.25,1,0,0,0,0,1,0,1,0,x
210,1,1,0,0,0,1,0,1,0,x
212.5,0,1,0,0,0,1,0,1,0,x
218.75,1,1,0,0,0,1,0,1,0,x
220,1,0,0,0,0,1,0,1,0,x
225,0,0,0,0,0,1,0,1,0,x
230,0,1,0,0,0,1,0,1,0,x
231.25,1,1,0,0,0,1,0,1,0,x
237.5,0,1,1,0,0,1,0,1,64,x
240,0,0,1,0,0,1,0,1,64,x
243.75,1,0,1,0,0,1,0,1,64,64
244.75,1,0,0,0,0,1,0,1,64,64
250,0,1,1,0,0,1,0,1,65,64
256.25,1,1,1,0,0,1,0,1,65,64
257.25,1,1,0,0,0,1,0,1,65,64
260,1,0,0,0,0,1,0,1,65,64
262.5,0,0,1,0,0,1,0,1,66,64
268.75,1,0,1,0,0,1,0,1,66,64
269.75,1,0,0,0,0,1,0,1,66,64
270,1,1,0,0,0,1,0,1,66,64
275,0,1,1,0,0,1,0,1,67,64
280,0,0,1,0,0,1,0,1,67,64
281.25,1,0,1,0,0,1,0,1,67,64
282.25,1,0,0,0,0,1,0,1,67,64
287.5,0,0,1,0,0,1,0,1,68,64
290,0,1,1,0,0,0,0,1,68,64
293.75,1,1,1,0,0,0,0,1,68,64
294.75,1,1,0,0,0,0,0,1,68,64
300,0,0,1,0,0,0,0,1,69,64
306.25,1,0,1,0,0,0,0,1,69,64
307.25,1,0,0,0,0,0,0,1,69,64
310,1,1,0,0,0,0,0,1,69,64
312.5,0,1,1,0,0,0,0,1,70,64
318.75,1,1,1,0,0,0,0,1,70,64
319.75,1,1,0,0,0,0,0,1,70,64
320,1,0,0,0,0,0,0,1,70,64
325,0,0,1,0,0,0,0,1,71,64
330,0,1,1,0,0,0,0,1,71,64
331.25,1,1,1,0,0,0,0,1,71,64
332.25,1,1,0,0,0,0,0,1,71,64
337.5,0,1,1,0,0,0,0,1,72,64
340,0,0,1,0,0,0,0,1,72,64
343.75,1,0,1,0,0,0,0,1,72,64
344.75,1,0,0,0,0,0,0,1,72,64
350,0,1,1,0,0,0,0,1,73,64
356.25,1,1,1,0,0,0,0,1,73,64
357.25,1,1,0,0,0,0,0,1,73,64
360,1,0,0,0,0,0,0,1,73,64
362.5,0,0,1,0,0,0,0,1,74,64
368.75,1,0,1,0,0,0,0,1,74,64
369.75,1,0,0,0,0,0,0,1,74,64
370,1,1,0,0,0,0,0,1,74,64
375,0,1,1,0,0,0,0,1,75,64
380,0,0,1,0,0,0,0,1,75,64
381.25,1,0,1,0,0,0,0,1,75,64
382.25,1,0,0,0,0,0,0,1,75,64
387.5,0,0,1,0,0,0,0,1,76,64
390,0,1,1,0,0,0,0,1,76,64
393.75,1,1,1,0,0,0,0,1,76,64
394.75,1,1,0,0,0,0,0,1,76,64
400,0,0,1,0,0,0,0,1,77,64
406.25,1,0,1,0,0,0,0,1,77,64
407.25,1,0,0,0,0,0,0,1,77,64
410,1,1,0,0,0,0,0,1,77,64
412.5,0,1,1,0,0,0,0,1,78,64
418.75,1,1,1,0,0,0,0,1,78,64
419.75,1,1,0,0,0,0,0,1,78,64
420,1,0,0,0,0,0,0,1,78,64
425,0,0,1,0,0,0,0,1,79,64
430,0,1,1,0,0,0,0,1,79,64
