time_ns,wclk,rclk,wptr_dec,rptr_dec,wen,ren,wFull,wHalfFull,rEmpty,rHalfEmpty
0,0,0,0,0,0,0,0,0,1,1
6.25,1,0,0,0,0,0,0,0,1,1
10,1,1,0,0,0,0,0,0,1,1
12.5,0,1,0,0,0,0,0,0,1,1
18.75,1,1,0,0,0,0,0,0,1,1
20,1,0,0,0,0,0,0,0,1,1
25,0,0,0,0,0,0,0,0,1,1
30,0,1,0,0,0,0,0,0,1,1
31.25,1,1,0,0,0,0,0,0,1,1
37.5,0,1,0,0,0,0,0,0,1,1
40,0,0,0,0,0,0,0,0,1,1
43.75,1,0,0,0,0,0,0,0,1,1
50,0,1,0,0,0,0,0,0,1,1
56.25,1,1,0,0,0,0,0,0,1,1
60,1,0,0,0,0,0,0,0,1,1
62.5,0,0,0,0,0,0,0,0,1,1
68.75,1,0,0,0,0,0,0,0,1,1
70,1,1,0,0,0,0,0,0,1,1
75,0,1,0,0,0,0,0,0,1,1
80,0,0,0,0,0,0,0,0,1,1
81.25,1,0,0,0,0,0,0,0,1,1
87.5,0,0,0,0,0,0,0,0,1,1
90,0,1,0,0,0,0,0,0,1,1
93.75,1,1,0,0,0,0,0,0,1,1
100,0,0,0,0,0,0,0,0,1,1
106.25,1,0,0,0,0,0,0,0,1,1
110,1,1,0,0,0,0,0,0,1,1
112.5,0,1,0,0,0,0,0,0,1,1
118.75,1,1,0,0,0,0,0,0,1,1
120,1,0,0,0,0,0,0,0,1,1
125,0,0,0,0,0,0,0,0,1,1
130,0,1,0,0,0,0,0,0,1,1
131.25,1,1,0,0,0,0,0,0,1,1
137.5,0,1,0,0,0,0,0,0,1,1
140,0,0,0,0,0,0,0,0,1,1
143.75,1,0,0,0,0,0,0,0,1,1
150,0,1,0,0,0,0,0,0,1,1
156.25,1,1,0,0,0,0,0,0,1,1
160,1,0,0,0,0,0,0,0,1,1
162.5,0,0,0,0,0,0,0,0,1,1
168.75,1,0,0,0,0,0,0,0,1,1
170,1,1,0,0,0,0,0,0,1,1
175,0,1,0,0,0,0,0,0,1,1
180,0,0,0,0,0,0,0,0,1,1
181.25,1,0,0,0,0,0,0,0,1,1
187.5,0,0,0,0,0,0,0,0,1,1
190,0,1,0,0,0,0,0,0,1,1
193.75,1,1,0,0,0,0,0,0,1,1
200,0,0,0,0,0,0,0,0,1,1
206.25,1,0,0,0,0,0,0,0,1,1
210,1,1,0,0,0,0,0,0,1,1
212.5,0,1,0,0,0,0,0,0,1,1
218.75,1,1,0,0,0,0,0,0,1,1
220,1,0,0,0,0,0,0,0,1,1
225,0,0,0,0,0,0,0,0,1,1
230,0,1,0,0,0,0,0,0,1,1
231.25,1,1,0,0,0,0,0,0,1,1
237.5,0,1,0,0,1,0,0,0,1,1
240,0,0,0,0,1,0,0,0,1,1
243.75,1,0,1,0,1,0,0,0,1,1
250,0,1,1,0,1,0,0,0,1,1
256.25,1,1,2,0,1,0,0,0,1,1
260,1,0,2,0,1,0,0,0,1,1
262.5,0,0,2,0,1,0,0,0,1,1
268.75,1,0,3,0,1,0,0,0,1,1
270,1,1,3,0,1,0,0,0,1,1
275,0,1,3,0,1,0,0,0,1,1
280,0,0,3,0,1,0,0,0,1,1
281.25,1,0,4,0,1,0,0,0,1,1
287.5,0,0,4,0,1,0,0,0,1,1
290,0,1,4,0,1,0,0,0,0,1
293.75,1,1,5,0,1,0,0,0,0,1
300,0,0,5,0,1,0,0,0,0,1
306.25,1,0,6,0,1,0,0,0,0,1
310,1,1,6,0,1,0,0,0,0,1
312.5,0,1,6,0,1,0,0,0,0,1
318.75,1,1,7,0,1,0,0,0,0,1
320,1,0,7,0,1,0,0,0,0,1
325,0,0,7,0,1,0,0,0,0,1
330,0,1,7,0,1,0,0,0,0,1
331.25,1,1,8,0,1,0,0,0,0,1
337.5,0,1,8,0,1,0,0,0,0,1
340,0,0,8,0,1,0,0,0,0,1
343.75,1,0,9,0,1,0,0,0,0,1
350,0,1,9,0,1,0,0,0,0,1
356.25,1,1,10,0,1,0,0,0,0,1
