time_ns,winc,rinc,wFull,rEmpty,wHalfFull,rHalfEmpty,wData,rData
0,0,0,0,1,0,1,0,x
120,1,0,0,1,0,1,2,x
132,0,0,0,1,0,1,176,x
144,1,0,0,1,0,1,210,x
156,1,0,0,1,0,1,186,x
168,0,0,0,1,0,1,50,x
180,1,0,0,1,0,1,11,x
192,1,0,0,1,0,1,186,x
204,1,0,0,1,0,1,79,x
216,1,0,0,1,0,1,240,x
220,1,1,0,1,0,1,240,x
228,0,1,0,1,0,1,35,x
240,0,0,0,1,0,1,194,x
252,0,0,0,1,0,1,80,x
264,0,0,0,1,0,1,196,x
276,0,0,0,1,0,1,99,x
288,1,0,0,1,0,1,204,x
300,0,0,0,1,0,1,174,x
312,1,0,0,1,0,1,129,x
320,1,1,0,1,0,1,129,x
324,1,1,0,1,0,1,61,x
336,1,1,0,1,0,1,59,x
340,1,0,0,1,0,1,59,x
348,1,0,0,1,0,1,164,x
360,0,0,0,1,0,1,32,x
372,0,0,0,1,0,1,139,x
380,0,1,0,1,0,1,139,x
384,1,1,0,1,0,1,121,x
396,0,1,0,1,0,1,78,x
408,0,1,0,1,0,1,156,x
420,1,1,0,1,0,1,134,x
432,0,1,0,1,0,1,96,x
444,1,1,0,1,0,1,200,x
456,1,1,0,1,0,1,87,x
468,1,1,0,1,0,1,176,x
480,0,1,0,1,0,1,1,x
492,0,1,0,1,0,1,229,x
500,0,0,0,1,0,1,229,x
504,1,0,0,1,0,1,200,x
516,1,0,0,1,0,1,114,x
528,1,0,0,1,0,1,52,x
540,1,0,0,1,0,1,203,x
552,1,0,0,1,0,1,171,x
560,1,1,0,1,0,1,171,x
564,0,1,0,1,0,1,224,x
576,1,1,0,1,0,1,83,x
580,1,0,0,1,0,1,83,x
588,1,0,0,1,0,1,148,x
600,0,1,0,1,0,1,27,x
612,0,1,0,1,0,1,153,x
620,0,0,0,1,0,1,153,x
624,0,0,0,1,0,1,179,x
636,1,0,0,1,0,1,59,x
640,1,1,0,1,0,1,59,x
648,0,1,0,1,0,1,114,x
660,1,0,0,1,0,1,53,x
672,1,0,0,1,0,1,229,x
684,1,0,0,1,0,1,73,x
696,1,0,0,1,0,1,60,x
700,1,1,0,1,0,1,60,x
708,1,1,0,1,0,1,156,x
720,1,1,0,1,0,1,255,x
732,1,1,0,1,0,1,219,x
744,0,1,0,1,0,1,38,x
756,0,1,0,1,0,1,255,x
768,0,1,0,1,0,1,189,x
780,0,0,0,1,0,1,50,x
792,1,0,0,1,0,1,64,x
804,1,0,0,1,0,1,94,x
816,1,0,0,1,0,1,2,x
820,1,1,0,1,0,1,2,x
828,0,1,0,1,0,1,192,x
840,0,0,0,1,0,1,134,x
852,1,0,0,1,0,1,196,x
864,0,0,0,1,0,1,44,x
876,1,0,0,1,0,1,7,x
880,1,1,0,1,0,1,7,x
888,0,1,0,1,0,1,155,x
900,0,1,0,1,0,1,238,x
912,1,1,0,1,0,1,218,x
924,0,1,0,1,0,1,158,x
936,1,1,0,1,0,1,246,x
948,0,1,0,1,0,1,119,x
960,0,0,0,1,0,1,240,x
972,1,0,0,1,0,1,165,x
980,1,1,0,1,0,1,165,x
984,1,1,0,1,0,1,202,x
996,0,1,0,1,0,1,15,x
1008,0,1,0,1,0,1,80,x
1020,0,1,0,1,0,1,67,x
1032,0,1,0,1,0,1,245,x
1040,0,0,0,1,0,1,245,x
1044,0,0,0,1,0,1,32,x
1056,1,0,0,1,0,1,241,x
1060,1,1,0,1,0,1,241,x
1068,0,1,0,1,0,1,90,x
1080,0,1,0,1,0,1,78,x
1092,1,1,0,1,0,1,205,x
1100,1,0,0,1,0,1,205,x
1104,0,0,0,1,0,1,80,x
1110,0,0,0,0,0,1,80,x
1116,0,0,0,0,0,1,86,x
1120,0,1,0,0,0,1,86,x
1128,0,1,0,0,0,1,180,x
1130,0,1,0,1,0,1,180,241
1140,1,0,0,1,0,1,151,241
1150,1,0,0,0,0,1,151,241
1152,1,0,0,0,0,1,234,241
1160,1,1,0,0,0,1,234,241
1164,1,1,0,0,0,1,42,241
1170,1,1,0,1,0,1,42,205
1176,1,1,0,1,0,1,199,205
1180,1,0,0,1,0,1,199,205
1188,0,0,0,1,0,1,8,205
1190,0,0,0,0,0,1,8,205
1200,0,1,0,0,0,1,226,205
1210,0,1,0,0,0,1,226,151
1212,1,1,0,0,0,1,31,151
1224,0,1,0,0,0,1,241,151
1230,0,1,0,0,0,1,241,234
1236,0,1,0,0,0,1,226,234
1240,0,0,0,0,0,1,226,234
1248,0,0,0,0,0,1,214,234
1260,0,0,0,0,0,1,121,234
1272,0,0,0,0,0,1,86,234
1284,1,0,0,0,0,1,5,234
1296,0,0,0,0,0,1,213,234
1300,0,1,0,0,0,1,213,234
1308,1,1,0,0,0,1,118,234
1310,1,1,0,0,0,1,118,42
1320,1,0,0,0,0,1,8,42
1332,1,0,0,0,0,1,213,42
1344,1,0,0,0,0,1,26,42
1356,0,0,0,0,0,1,249,42
1368,1,0,0,0,0,1,106,42
1380,1,1,0,0,0,1,198,42
1390,1,1,0,0,0,1,198,199
1392,1,1,0,0,0,1,126,199
1404,0,1,0,0,0,1,58,199
1410,0,1,0,0,0,1,58,31
1416,0,1,0,0,0,1,104,31
1420,0,0,0,0,0,1,104,31
1428,0,0,0,0,0,1,151,31
1440,0,0,0,0,0,1,194,31
1452,0,0,0,0,0,1,131,31
1460,0,1,0,0,0,1,131,31
1464,0,1,0,0,0,1,167,31
1470,0,1,0,0,0,1,167,5
1476,0,1,0,0,0,1,158,5
1488,1,1,0,0,0,1,37,5
1490,1,1,0,0,0,1,37,118
1500,1,0,0,0,0,1,88,118
1512,0,0,0,0,0,1,237,118
1524,1,0,0,0,0,1,211,118
1536,0,0,0,0,0,1,17,118
1548,1,0,0,0,0,1,68,118
1560,0,0,0,0,0,1,209,118
1572,1,0,0,0,0,1,21,118
1584,0,0,0,0,0,1,123,118
1596,1,0,0,0,0,1,2,118
1600,1,1,0,0,0,1,2,118
1608,0,1,0,0,0,1,206,118
1610,0,1,0,0,0,1,206,8
1620,0,0,0,0,0,1,243,8
1632,0,0,0,0,0,1,20,8
1644,0,0,0,0,0,1,178,8
1656,0,0,0,0,0,1,172,8
1668,1,0,0,0,0,1,250,8
1680,1,0,0,0,0,1,192,8
1692,1,0,0,0,0,1,1,8
1700,1,1,0,0,0,1,1,8
1704,1,1,0,0,0,1,135,8
1710,1,1,0,0,0,1,135,213
1716,0,1,0,0,0,1,179,213
1720,0,0,0,0,0,1,179,213
1728,1,0,0,0,0,1,215,213
1740,0,1,0,0,0,1,2,213
1750,0,1,0,0,0,1,2,26
1752,0,1,0,0,0,1,29,26
1760,0,0,0,0,0,1,29,26
1764,0,0,0,0,0,1,144,26
1776,0,0,0,0,0,1,123,26
1780,0,1,0,0,0,1,123,26
1788,1,1,0,0,0,1,139,26
1790,1,1,0,0,0,1,139,106
1800,1,1,0,0,0,1,252,106
1810,1,1,0,0,0,1,252,198
1812,1,1,0,0,0,1,5,198
1820,1,0,0,0,0,1,5,198
1824,1,0,0,0,0,1,208,198
1836,0,0,0,0,0,1,0,198
1840,0,1,0,0,0,1,0,198
1848,1,1,0,0,0,1,216,198
1850,1,1,0,0,0,1,216,126
1860,0,1,0,0,0,1,254,126
1870,0,1,0,0,0,1,254,37
1872,0,1,0,0,0,1,98,37
1884,0,1,0,0,0,1,217,37
1890,0,1,0,0,0,1,217,88
1896,1,1,0,0,0,1,237,88
1900,1,0,0,0,0,1,237,88
1908,0,0,0,0,0,1,198,88
1920,0,0,0,0,0,1,163,88
1932,0,0,0,0,0,1,93,88
1944,0,0,0,0,0,1,33,88
1956,0,0,0,0,0,1,18,88
1968,0,0,0,0,0,1,216,88
1980,1,0,0,0,0,1,60,88
1992,0,0,0,0,0,1,70,88
2000,0,1,0,0,0,1,70,88
2004,0,1,0,0,0,1,129,88
2010,0,1,0,0,0,1,129,211
2016,0,1,0,0,0,1,191,211
2020,0,0,0,0,0,1,191,211
2028,0,0,0,0,0,1,163,211
2040,1,1,0,0,0,1,160,211
2050,1,1,0,0,0,1,160,68
2052,0,1,0,0,0,1,29,68
2060,0,0,0,0,0,1,29,68
2064,0,0,0,0,0,1,69,68
2076,1,0,0,0,0,1,83,68
2088,0,0,0,0,0,1,51,68
2100,1,1,0,0,0,1,173,68
2110,1,1,0,0,0,1,173,21
2112,1,1,0,0,0,1,195,21
2124,0,1,0,0,0,1,222,21
2130,0,1,0,0,0,1,222,2
2136,0,1,0,0,0,1,238,2
2148,0,1,0,0,0,1,55,2
2150,0,1,0,0,0,1,55,250
2160,0,1,0,0,0,1,11,250
2170,0,1,0,0,0,1,11,192
2172,0,1,0,0,0,1,198,192
2180,0,0,0,0,0,1,198,192
2184,0,0,0,0,0,1,155,192
2196,1,0,0,0,0,1,73,192
2200,1,1,0,0,0,1,73,192
2208,0,1,0,0,0,1,74,192
2210,0,1,0,0,0,1,74,1
2220,0,1,0,0,0,1,191,1
2230,0,1,0,0,0,1,191,135
2232,0,1,0,0,0,1,184,135
2244,1,1,0,0,0,1,218,135
2250,1,1,0,0,0,1,218,215
2256,0,1,0,0,0,1,98,215
2268,0,1,0,0,0,1,242,215
2270,0,1,0,0,0,1,242,139
2280,0,1,0,0,0,1,15,139
2290,0,1,0,0,0,1,15,252
2292,1,1,0,0,0,1,98,252
2304,1,1,0,0,0,1,198,252
2310,1,1,0,0,0,1,198,5
2316,0,1,0,0,0,1,253,5
2328,1,1,0,0,0,1,104,5
2330,1,1,0,0,0,1,104,208
2340,0,0,0,0,0,1,27,208
2352,1,0,0,0,0,1,113,208
2364,0,0,0,0,0,1,208,208
2376,1,0,0,0,0,1,221,208
2380,1,1,0,0,0,1,221,208
2388,1,1,0,0,0,1,61,208
2390,1,1,0,0,0,1,61,216
2400,1,0,0,0,0,1,220,216
2412,1,0,0,0,0,1,239,216
2420,1,1,0,0,0,1,239,216
2424,1,1,0,0,0,1,66,216
2430,1,1,0,0,0,1,66,237
2436,1,1,0,0,0,1,39,237
2448,1,1,0,0,0,1,49,237
2450,1,1,0,0,0,1,49,60
2460,1,0,0,0,0,1,95,60
2472,0,0,0,0,0,1,99,60
2480,0,1,0,0,0,1,99,60
2484,1,1,0,0,0,1,243,60
2490,1,1,0,0,0,1,243,160
