# transcript.txt
do run.do
# QuestaSim-64 vlog 2019.2_1 Compiler 2019.05 May 13 2019
# Start time: 00:00:09 on May 04,2024
# vlog -reportprogress 300 -source -lint async_fifo.sv 
# -- Compiling module asynchronous_fifo
# -- Compiling module fifo_mem
# -- Compiling module synchronizer
# -- Compiling module rptr_handler
# -- Compiling module wptr_handler
# 
# Top level modules:
# 	asynchronous_fifo
# End time: 00:00:09 on May 04,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2019.2_1 Compiler 2019.05 May 13 2019
# Start time: 00:00:09 on May 04,2024
# vlog -reportprogress 300 -source -lint async_fifo_package.sv 
# -- Compiling package async_fifo_pkg
# 
# Top level modules:
# 	--none--
# End time: 00:00:10 on May 04,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2019.2_1 Compiler 2019.05 May 13 2019
# Start time: 00:00:10 on May 04,2024
# vlog -reportprogress 300 -source -lint aysnc_fifo_interface.sv 
# -- Compiling interface intf
# 
# Top level modules:
# 	--none--
# End time: 00:00:10 on May 04,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2019.2_1 Compiler 2019.05 May 13 2019
# Start time: 00:00:10 on May 04,2024
# vlog -reportprogress 300 -source -lint async_fifo_top.sv 
# -- Compiling package async_fifo_top_sv_unit
# -- Importing package async_fifo_pkg
# -- Compiling program test
# -- Compiling interface intf
# -- Compiling module async_fifo_top
# 
# Top level modules:
# 	async_fifo_top
# End time: 00:00:10 on May 04,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2019.2_1 Compiler 2019.05 May 13 2019
# Start time: 00:00:10 on May 04,2024
# vlog -reportprogress 300 -source -lint async_fifo_test.sv 
# -- Compiling package async_fifo_test_sv_unit
# -- Importing package async_fifo_pkg
# -- Compiling program test
# 
# Top level modules:
# 	test
# End time: 00:00:10 on May 04,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# vsim async_fifo_top 
# Start time: 00:00:10 on May 04,2024
# ** Note: (vsim-3812) Design is being optimized...
