# transcript_withbugs2.txt
do run.do
# Error 31: Unable to unlink file "//thoth.cecs.pdx.edu/Home06/katne/Downloads/M5/work/top_optimized/_lib.qdb".
# Error 31: Unable to unlink file "//thoth.cecs.pdx.edu/Home06/katne/Downloads/M5/work/top_optimized/_lib3_0.qdb".
# Error 31: Unable to unlink file "//thoth.cecs.pdx.edu/Home06/katne/Downloads/M5/work/top_optimized/_lib3_0.qpg".
# Error 31: Unable to unlink file "//thoth.cecs.pdx.edu/Home06/katne/Downloads/M5/work/top_optimized/_lib3_0.qtl".
# Error 133: Unable to remove directory "//thoth.cecs.pdx.edu/Home06/katne/Downloads/M5/work/top_optimized".
# Error 133: Unable to remove directory "//thoth.cecs.pdx.edu/Home06/katne/Downloads/M5/work".
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 23:07:59 on Jun 04,2024
# vlog -reportprogress 300 -source -lint async_fifo.sv 
# -- Compiling module asynchronous_fifo
# -- Compiling module fifo_mem
# -- Compiling module synchronizer
# -- Compiling module rptr_handler
# -- Compiling module wptr_handler
# 
# Top level modules:
# 	asynchronous_fifo
# End time: 23:07:59 on Jun 04,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 23:07:59 on Jun 04,2024
# vlog -reportprogress 300 -source -lint async_fifo_package.sv 
# -- Compiling package fifo_pkg
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# ** Note: (vlog-2286) async_fifo_package.sv(4): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# 
# Top level modules:
# 	--none--
# End time: 23:08:01 on Jun 04,2024, Elapsed time: 0:00:02
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 23:08:01 on Jun 04,2024
# vlog -reportprogress 300 -source -lint async_fifo_top.sv 
# ** Note: (vlog-2286) async_fifo_top.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package async_fifo_top_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Importing package fifo_pkg
# -- Compiling interface intf
# -- Compiling module tb_top
# 
# Top level modules:
# 	tb_top
# End time: 23:08:03 on Jun 04,2024, Elapsed time: 0:00:02
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 23:08:03 on Jun 04,2024
# vlog -reportprogress 300 -source -lint async_fifo_test.sv 
# ** Note: (vlog-2286) async_fifo_test.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package async_fifo_test_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Importing package fifo_pkg
# 
# Top level modules:
# 	--none--
# End time: 23:08:04 on Jun 04,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 23:08:04 on Jun 04,2024
# vlog -reportprogress 300 -source -lint async_fifo_driver.sv 
# ** Note: (vlog-2286) async_fifo_driver.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package async_fifo_driver_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Importing package fifo_pkg
# 
# Top level modules:
# 	--none--
# End time: 23:08:06 on Jun 04,2024, Elapsed time: 0:00:02
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 23:08:06 on Jun 04,2024
# vlog -reportprogress 300 -source -lint async_fifo_env.sv 
# ** Note: (vlog-2286) async_fifo_env.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package async_fifo_env_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Importing package fifo_pkg
# 
# Top level modules:
# 	--none--
# End time: 23:08:08 on Jun 04,2024, Elapsed time: 0:00:02
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 23:08:08 on Jun 04,2024
# vlog -reportprogress 300 -source -lint async_fifo_testrand.sv 
# ** Note: (vlog-2286) async_fifo_testrand.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package async_fifo_testrand_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Importing package fifo_pkg
# 
# Top level modules:
# 	--none--
# End time: 23:08:10 on Jun 04,2024, Elapsed time: 0:00:02
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 23:08:10 on Jun 04,2024
# vlog -reportprogress 300 -source -lint async_fifo_interface.sv 
# -- Compiling package async_fifo_interface_sv_unit
# -- Importing package fifo_pkg
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Compiling interface intf
# 
# Top level modules:
# 	--none--
# End time: 23:08:12 on Jun 04,2024, Elapsed time: 0:00:02
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 23:08:12 on Jun 04,2024
# vlog -reportprogress 300 -source -lint async_fifo_read_agent.sv 
# ** Note: (vlog-2286) async_fifo_read_agent.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package async_fifo_read_agent_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Importing package fifo_pkg
# 
# Top level modules:
# 	--none--
# End time: 23:08:13 on Jun 04,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 23:08:13 on Jun 04,2024
# vlog -reportprogress 300 -source -lint async_fifo_scoreboard.sv 
# ** Note: (vlog-2286) async_fifo_scoreboard.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package async_fifo_scoreboard_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Importing package fifo_pkg
# 
# Top level modules:
# 	--none--
# End time: 23:08:15 on Jun 04,2024, Elapsed time: 0:00:02
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 23:08:15 on Jun 04,2024
# vlog -reportprogress 300 -source -lint async_fifo_seq_item.sv 
# ** Note: (vlog-2286) async_fifo_seq_item.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package async_fifo_seq_item_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Importing package fifo_pkg
# 
# Top level modules:
# 	--none--
# End time: 23:08:17 on Jun 04,2024, Elapsed time: 0:00:02
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 23:08:17 on Jun 04,2024
# vlog -reportprogress 300 -source -lint async_fifo_seq_test.sv 
# ** Note: (vlog-2286) async_fifo_seq_test.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package async_fifo_seq_test_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Importing package fifo_pkg
# 
# Top level modules:
# 	--none--
# End time: 23:08:19 on Jun 04,2024, Elapsed time: 0:00:02
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 23:08:19 on Jun 04,2024
# vlog -reportprogress 300 -source -lint async_fifo_seq_testrand.sv 
# ** Note: (vlog-2286) async_fifo_seq_testrand.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package async_fifo_seq_testrand_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Importing package fifo_pkg
# 
# Top level modules:
# 	--none--
# End time: 23:08:20 on Jun 04,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 23:08:20 on Jun 04,2024
# vlog -reportprogress 300 -source -lint async_fifo_sequencer.sv 
# ** Note: (vlog-2286) async_fifo_sequencer.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package async_fifo_sequencer_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Importing package fifo_pkg
# 
# Top level modules:
# 	--none--
# End time: 23:08:22 on Jun 04,2024, Elapsed time: 0:00:02
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 23:08:22 on Jun 04,2024
# vlog -reportprogress 300 -source -lint async_fifo_write_agent.sv 
# ** Note: (vlog-2286) async_fifo_write_agent.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package async_fifo_write_agent_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Importing package fifo_pkg
# 
# Top level modules:
# 	--none--
# End time: 23:08:24 on Jun 04,2024, Elapsed time: 0:00:02
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 23:08:24 on Jun 04,2024
# vlog -reportprogress 300 -source -lint async_fifo_coverage.sv 
# -- Compiling package async_fifo_coverage_sv_unit
# 
# Top level modules:
# 	--none--
# End time: 23:08:25 on Jun 04,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 23:08:25 on Jun 04,2024
# vlog -reportprogress 300 -source -lint async_fifo_read_monitor.sv 
# ** Note: (vlog-2286) async_fifo_read_monitor.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package async_fifo_read_monitor_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Importing package fifo_pkg
# 
# Top level modules:
# 	--none--
# End time: 23:08:26 on Jun 04,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 23:08:26 on Jun 04,2024
# vlog -reportprogress 300 -source -lint async_fifo_write_monitor.sv 
# ** Note: (vlog-2286) async_fifo_write_monitor.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package async_fifo_write_monitor_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Importing package fifo_pkg
# 
# Top level modules:
# 	--none--
# End time: 23:08:28 on Jun 04,2024, Elapsed time: 0:00:02
# Errors: 0, Warnings: 0
# QuestaSim-64 vopt 2023.3 Compiler 2023.07 Jul 17 2023
# ** Warning: (vopt-10587) Some optimizations are turned off because the +acc switch is in effect. This will cause your simulation to run slowly. Please use -access/-debug to maintain needed visibility.
# Start time: 23:08:29 on Jun 04,2024
# vopt -reportprogress 300 tb_top -o top_optimized "+acc" "+cover=sbfec+asynchronous_fifo(rtl)." 
# 
# Top level modules:
# 	tb_top
# 
# Analyzing design...
# -- Loading module tb_top
# -- Loading package mtiUvm.questa_uvm_pkg
# -- Loading interface intf
# -- Loading module asynchronous_fifo
# -- Loading module fifo_mem
# -- Loading module synchronizer
# -- Loading module rptr_handler
# -- Loading module wptr_handler
# Optimizing 13 design-units (inlining 0/8 module instances):
# -- Optimizing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)(fast)
# -- Optimizing package mtiUvm.questa_uvm_pkg(fast)
# -- Optimizing package fifo_pkg(fast)
# -- Optimizing package async_fifo_interface_sv_unit(fast)
# -- Optimizing package async_fifo_top_sv_unit(fast)
# -- Optimizing module tb_top(fast)
# -- Optimizing module wptr_handler(fast)
# -- Optimizing interface intf(fast__2)
# -- Optimizing module rptr_handler(fast)
# -- Optimizing module asynchronous_fifo(fast)
# -- Optimizing module fifo_mem(fast)
# -- Optimizing module synchronizer(fast)
# -- Optimizing interface intf(fast)
# Optimized design name is top_optimized
# End time: 23:08:39 on Jun 04,2024, Elapsed time: 0:00:10
# Errors: 0, Warnings: 1
# End time: 23:08:46 on Jun 04,2024, Elapsed time: 0:01:57
# Errors: 0, Warnings: 1
# vsim top_optimized -coverage 
# Start time: 23:08:46 on Jun 04,2024
# Loading sv_std.std
# Loading work.intf(fast)
# Loading mtiUvm.uvm_pkg(fast)
# Loading work.fifo_pkg(fast)
# Loading work.async_fifo_top_sv_unit(fast)
# Loading mtiUvm.questa_uvm_pkg(fast)
# Loading work.tb_top(fast)
# Loading work.async_fifo_interface_sv_unit(fast)
# Loading work.intf(fast__2)
# Loading work.asynchronous_fifo(fast)
# Loading work.fifo_mem(fast)
# Loading work.synchronizer(fast)
# Loading work.rptr_handler(fast)
# Loading work.wptr_handler(fast)
# Loading C:/questasim64_2023.3/uvm-1.1d\win64\uvm_dpi.dll
# 1
# ----------------------------------------------------------------
# UVM-1.1d
# (C) 2007-2013 Mentor Graphics Corporation
# (C) 2007-2013 Cadence Design Systems, Inc.
# (C) 2006-2013 Synopsys, Inc.
# (C) 2011-2013 Cypress Semiconductor Corp.
# ----------------------------------------------------------------
# 
#   ***********       IMPORTANT RELEASE NOTES         ************
# 
#   You are using a version of the UVM library that has been compiled
#   with `UVM_NO_DEPRECATED undefined.
#   See http://www.eda.org/svdb/view.php?id=3313 for more details.
# 
#   You are using a version of the UVM library that has been compiled
#   with `UVM_OBJECT_MUST_HAVE_CONSTRUCTOR undefined.
#   See http://www.eda.org/svdb/view.php?id=3770 for more details.
# 
#       (Specify +UVM_NO_RELNOTES to turn off this notice)
# 
