# transcript.txt
do run.do
# QuestaSim-64 vlog 2019.2_1 Compiler 2019.05 May 13 2019
# Start time: 22:35:21 on May 14,2024
# vlog -reportprogress 300 -source -lint async_fifo.sv 
# -- Compiling module asynchronous_fifo
# -- Compiling module fifo_mem
# -- Compiling module synchronizer
# -- Compiling module rptr_handler
# -- Compiling module wptr_handler
# 
# Top level modules:
# 	asynchronous_fifo
# End time: 22:35:22 on May 14,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2019.2_1 Compiler 2019.05 May 13 2019
# Start time: 22:35:22 on May 14,2024
# vlog -reportprogress 300 -source -lint async_fifo_package.sv 
# -- Compiling package async_fifo_pkg
# 
# Top level modules:
# 	--none--
# End time: 22:35:22 on May 14,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2019.2_1 Compiler 2019.05 May 13 2019
# Start time: 22:35:22 on May 14,2024
# vlog -reportprogress 300 -source -lint async_fifo_interface.sv 
# -- Compiling interface intf
# 
# Top level modules:
# 	--none--
# End time: 22:35:22 on May 14,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2019.2_1 Compiler 2019.05 May 13 2019
# Start time: 22:35:22 on May 14,2024
# vlog -reportprogress 300 -source -lint async_fifo_top.sv 
# -- Compiling package async_fifo_top_sv_unit
# -- Importing package async_fifo_pkg
# -- Compiling program test
# -- Compiling interface intf
# -- Compiling module async_fifo_top
# 
# Top level modules:
# 	async_fifo_top
# End time: 22:35:22 on May 14,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2019.2_1 Compiler 2019.05 May 13 2019
# Start time: 22:35:22 on May 14,2024
# vlog -reportprogress 300 -source -lint async_fifo_test.sv 
# -- Compiling package async_fifo_test_sv_unit
# -- Importing package async_fifo_pkg
# -- Compiling program test
# 
# Top level modules:
# 	test
# End time: 22:35:22 on May 14,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# vsim async_fifo_top 
# Start time: 22:35:22 on May 14,2024
# ** Note: (vsim-3812) Design is being optimized...
# Loading sv_std.std
# Loading work.intf(fast)
# Loading work.async_fifo_pkg(fast)
# Loading work.async_fifo_top_sv_unit(fast)
# Loading work.async_fifo_top(fast)
# Loading work.async_fifo_test_sv_unit(fast)
# Loading work.test(fast)
# End time: 22:35:29 on May 14,2024, Elapsed time: 0:00:07
# Errors: 0, Warnings: 0
# vsim -coverage async_fifo_top -voptargs=""+cover=bcesfx"" 
# Start time: 22:35:29 on May 14,2024
# ** Note: (vsim-3812) Design is being optimized...
# Loading sv_std.std
# Loading work.intf(fast)
# Loading work.async_fifo_pkg(fast)
# Loading work.async_fifo_top_sv_unit(fast)
# Loading work.async_fifo_top(fast)
# Loading work.async_fifo_test_sv_unit(fast)
# Loading work.test(fast)
# QuestaSim-64 vlog 2019.2_1 Compiler 2019.05 May 13 2019
# Start time: 22:35:33 on May 14,2024
# vlog -reportprogress 300 -cover bcst async_fifo.sv 
# -- Compiling module asynchronous_fifo
# -- Compiling module fifo_mem
# -- Compiling module synchronizer
