# transcript_datacorruptionbug.txt
do run.do
# QuestaSim-64 vlog 2019.2_1 Compiler 2019.05 May 13 2019
# Start time: 01:44:34 on Jun 08,2024
# vlog -reportprogress 300 -source -lint "+define+WDATA_CORRUPTION_BUG" async_fifo.sv 
# -- Compiling module asynchronous_fifo
# -- Compiling module fifo_memory
# -- Compiling module sync
# -- Compiling module read_pointer
# -- Compiling module write_pointer
# 
# Top level modules:
# 	asynchronous_fifo
# End time: 01:44:35 on Jun 08,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2019.2_1 Compiler 2019.05 May 13 2019
# Start time: 01:44:35 on Jun 08,2024
# vlog -reportprogress 300 -source -lint async_fifo_package.sv 
# -- Compiling package fifo_pkg
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# ** Note: (vlog-2286) async_fifo_package.sv(4): Using implicit +incdir+/pkgs/mentor/questa/2019.2_1/questasim/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# 
# Top level modules:
# 	--none--
# End time: 01:44:36 on Jun 08,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2019.2_1 Compiler 2019.05 May 13 2019
# Start time: 01:44:36 on Jun 08,2024
# vlog -reportprogress 300 -source -lint "+define+RESET_SEQUENCE" async_fifo_top.sv 
# ** Note: (vlog-2286) async_fifo_top.sv(3): Using implicit +incdir+/pkgs/mentor/questa/2019.2_1/questasim/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package async_fifo_top_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Importing package fifo_pkg
# -- Compiling interface intf
# -- Compiling module tb_top
# 
# Top level modules:
# 	tb_top
# End time: 01:44:37 on Jun 08,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2019.2_1 Compiler 2019.05 May 13 2019
# Start time: 01:44:37 on Jun 08,2024
# vlog -reportprogress 300 -source -lint async_fifo_test.sv 
# ** Note: (vlog-2286) async_fifo_test.sv(2): Using implicit +incdir+/pkgs/mentor/questa/2019.2_1/questasim/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package async_fifo_test_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Importing package fifo_pkg
# 
# Top level modules:
# 	--none--
# End time: 01:44:38 on Jun 08,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2019.2_1 Compiler 2019.05 May 13 2019
# Start time: 01:44:38 on Jun 08,2024
# vlog -reportprogress 300 -source -lint async_fifo_driver.sv 
# ** Note: (vlog-2286) async_fifo_driver.sv(2): Using implicit +incdir+/pkgs/mentor/questa/2019.2_1/questasim/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package async_fifo_driver_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
