# transcript2.txt
set PrefMain(file) transcript2.txt
# transcript2.txt
do run.do
# Error 133: Unable to remove directory "/u/katne/myCourses/PreSi/asyncfifo_conventionaltb/work".
# QuestaSim-64 vlog 2019.2_1 Compiler 2019.05 May 13 2019
# Start time: 12:53:20 on Jun 08,2024
# vlog -reportprogress 300 -source -lint async_fifo2.sv 
# -- Compiling module asynchronous_fifo
# -- Compiling module fifo_memory
# -- Compiling module sync
# -- Compiling module read_pointer
# -- Compiling module write_pointer
# 
# Top level modules:
# 	asynchronous_fifo
# End time: 12:53:21 on Jun 08,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2019.2_1 Compiler 2019.05 May 13 2019
# Start time: 12:53:21 on Jun 08,2024
# vlog -reportprogress 300 -source -lint async_fifo_tb2.sv 
# -- Compiling module top
# 
# Top level modules:
# 	top
# End time: 12:53:21 on Jun 08,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vopt 2019.2_1 Compiler 2019.05 May 13 2019
# Start time: 12:53:21 on Jun 08,2024
# vopt -reportprogress 300 top -o top_optimized "+acc" "+cover=sbfec+asynchronous_fifo(rtl)." 
# 
# Top level modules:
# 	top
# 
# Analyzing design...
# -- Loading module top
# -- Loading module asynchronous_fifo
# -- Loading module fifo_memory
# -- Loading module write_pointer
# -- Loading module read_pointer
# -- Loading module sync
# Optimizing 6 design-units (inlining 0/7 module instances):
# -- Optimizing module top(fast)
# -- Optimizing module write_pointer(fast)
# -- Optimizing module fifo_memory(fast)
# -- Optimizing module asynchronous_fifo(fast)
# -- Optimizing module read_pointer(fast)
# -- Optimizing module sync(fast)
# Optimized design name is top_optimized
# End time: 12:53:22 on Jun 08,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# End time: 12:53:24 on Jun 08,2024, Elapsed time: 0:01:54
# Errors: 32, Warnings: 0
# vsim top_optimized -coverage 
# Start time: 12:53:24 on Jun 08,2024
# Loading sv_std.std
# Loading work.top(fast)
# Loading work.asynchronous_fifo(fast)
# Loading work.fifo_memory(fast)
# Loading work.write_pointer(fast)
# Loading work.read_pointer(fast)
# Loading work.sync(fast)
# 1
# Time = 3120: Comparison Passed: wr_data = 72 and rd_data = 72
# Time = 3160: Comparison Passed: wr_data = b2 and rd_data = b2
# Time = 3200: Comparison Passed: wr_data = 10 and rd_data = 10
# Time = 3240: Comparison Passed: wr_data = 30 and rd_data = 30
# Time = 3280: Comparison Passed: wr_data = b5 and rd_data = b5
# Time = 3320: Comparison Passed: wr_data = b6 and rd_data = b6
# Time = 3360: Comparison Passed: wr_data = 14 and rd_data = 14
